timestamp, latitude, longitude, altitude
1702402904.977542, 42.32935483333334, -83.07570016666665, 213.5
1702402926.552733, 42.329262500000006, -83.07569749999999, 206.8000030517578
1702402928.922262, 42.32925166666667, -83.07570533333335, 206.0
1702402929.263378, 42.32925033333333, -83.07570533333335, 205.8000030517578
1702402934.069539, 42.329231, -83.07572533333332, 203.89999389648438
1702402934.742968, 42.32923516666666, -83.07572983333333, 204.60000610351562
1702402935.081908, 42.329232166666664, -83.07573150000002, 204.5
1702402935.433503, 42.32923133333334, -83.07573316666667, 204.39999389648438
1702402936.116451, 42.3292345, -83.07573783333333, 205.0
1702402938.840906, 42.329207166666656, -83.07575116666666, 203.39999389648438
1702402939.511264, 42.32920883333333, -83.07575533333332, 204.39999389648438
1702402940.619678, 42.32920816666667, -83.07575550000001, 207.8000030517578
1702402940.987232, 42.32920883333333, -83.07575483333333, 209.10000610351562
1702402945.420693, 42.32910716666667, -83.075724, 207.10000610351562
1702402945.776381, 42.329106, -83.07572216666668, 207.1999969482422
1702402948.175477, 42.329082500000005, -83.07571666666666, 206.60000610351562
1702402948.595063, 42.329081166666676, -83.075718, 207.0
1702402962.959181, 42.32883416666667, -83.07567716666667, 187.5
1702402970.466727, 42.328815166666665, -83.07564150000002, 188.0
1702402971.86351, 42.32881766666666, -83.0756345, 188.5
1702402981.211565, 42.328854166666666, -83.075605, 192.10000610351562
1702402983.231533, 42.328871, -83.07560233333334, 193.39999389648438
1702402983.573859, 42.32887233333333, -83.07560033333333, 193.5
1702402983.907592, 42.32887583333333, -83.07559983333334, 193.8000030517578
1702402985.914063, 42.328883499999996, -83.07559116666668, 194.6999969482422
1702402987.239636, 42.32889350000001, -83.07558666666667, 195.1999969482422
1702402989.590474, 42.328898166666676, -83.07557333333334, 194.3000030517578
1702402992.23394, 42.32890766666666, -83.07556083333333, 193.39999389648438
1702402992.564168, 42.328906999999994, -83.0755595, 193.10000610351562
1702402992.893274, 42.328902166666666, -83.07555750000002, 192.60000610351562
1702402993.563688, 42.32890033333333, -83.07555316666667, 191.8000030517578
1702402994.623875, 42.328902500000005, -83.07555016666666, 191.60000610351562
1702402997.378467, 42.32891166666666, -83.07554916666668, 191.39999389648438
