timestamp, latitude, longitude, altitude
1702405757.416587, 42.32904716666667, -83.0758855, 182.39999389648438
1702405777.608138, 42.3290195, -83.07597650000001, 182.5
1702405780.476665, 42.329028666666666, -83.07598966666667, 182.60000610351562
1702405803.118324, 42.329145000000004, -83.07604466666665, 183.10000610351562
1702405818.85846, 42.32919683333333, -83.07597033333334, 182.8000030517578
1702405847.34272, 42.32912816666667, -83.07578283333332, 182.60000610351562
1702405854.690878, 42.32916016666666, -83.07574833333335, 182.8000030517578
1702405881.42186, 42.32929083333333, -83.07581616666667, 182.5
1702405886.563547, 42.329298666666666, -83.07585633333335, 182.60000610351562
1702405898.570969, 42.32924083333334, -83.07589950000002, 182.60000610351562
1702405918.979476, 42.329130500000005, -83.07592133333334, 182.5
