lat,long
42.32916783333334,-83.07581066666668
42.329166333333326,-83.07581200000001
42.32916350000001,-83.07581416666666
42.329159,-83.07581833333333
42.32915316666667,-83.07582499999998
42.329147666666664,-83.07583099999998
42.329141,-83.07583566666666
42.329136166666665,-83.07584049999998
42.329130333333325,-83.07584733333333
42.329124166666666,-83.07585249999998
42.32911766666666,-83.0758555
42.32911233333333,-83.07586016666667
42.32910749999999,-83.0758665
42.3291025,-83.07587116666667
42.329095833333334,-83.07587399999998
42.32909066666666,-83.07587616666666
42.329085500000005,-83.07588083333333
42.329079333333326,-83.07588566666666
42.32907216666668,-83.07588766666667
42.32906566666667,-83.07588783333334
42.32905083333333,-83.07590049999999
42.3290495,-83.07590633333332
42.329046,-83.07591633333335
42.32904116666667,-83.07592366666668
42.32903866666667,-83.0759285
42.329036333333335,-83.07593633333333
42.3290335,-83.07594533333334
42.32902916666667,-83.07595316666666
42.32902483333334,-83.07597433333333
42.32903216666667,-83.07599033333332
42.329034166666666,-83.07599233333333
42.329041499999995,-83.07599800000001
42.329046166666664,-83.07600316666667
42.329051,-83.07600983333332
42.32905683333333,-83.07601483333335
42.32906283333333,-83.07601733333334
42.32906983333334,-83.07602166666666
42.3290755,-83.07602766666666
42.32907983333333,-83.07603183333335
42.329085,-83.07603466666666
42.32909183333333,-83.076037
42.32909849999999,-83.07604116666668
42.32910416666667,-83.07604566666666
42.3291095,-83.07604850000001
42.32911616666667,-83.07604950000001
42.32912383333334,-83.0760505
42.32914283333333,-83.07604866666667
42.32914583333333,-83.07604566666666
42.32915166666667,-83.07603883333334
42.329156833333336,-83.07603216666666
42.329162333333336,-83.076026
42.329167999999996,-83.07602
42.32917333333333,-83.07601449999999
42.329176999999994,-83.07600900000001
42.329181333333324,-83.07600150000002
42.329186,-83.07599483333334
42.32919333333333,-83.07596
42.32918983333334,-83.07595500000001
42.329184500000004,-83.075948
42.32917966666667,-83.07594016666665
42.329175500000005,-83.07593100000001
42.32917183333334,-83.07592233333335
42.32916816666666,-83.07591516666668
42.32916350000001,-83.07590649999999
42.32916066666667,-83.07589899999999
42.3291575,-83.0758905
42.32915483333333,-83.07588483333332
42.32915083333334,-83.07587666666669
42.32914783333334,-83.07586850000001
42.329145000000004,-83.07585916666667
42.3291425,-83.07585066666667
42.329139500000004,-83.07584200000001
42.32913666666666,-83.07583316666665
42.329133666666664,-83.0758245
42.32913133333333,-83.07581516666666
42.32912966666666,-83.07580566666665
42.32913966666667,-83.075768
42.32914433333334,-83.07576633333335
42.32916916666667,-83.075767
42.329172666666665,-83.0757715
42.329178333333324,-83.07577950000001
42.329182833333334,-83.0757835
42.329188666666674,-83.07578616666666
42.329195666666664,-83.07579033333334
42.329201833333336,-83.075796
42.3292075,-83.07580116666668
42.32921316666666,-83.07580433333332
42.329220166666666,-83.075808
42.32922700000001,-83.07581216666668
42.32923266666667,-83.07581533333332
42.32923883333333,-83.07581733333333
42.32924516666667,-83.07581866666666
42.329252166666656,-83.07582116666666
42.32925916666667,-83.07582433333333
42.32926583333333,-83.07582583333333
42.329271333333324,-83.07582483333333
42.329299000000006,-83.07584766666666
42.32929083333333,-83.07586583333332
42.32928683333333,-83.07586916666666
42.32928033333333,-83.07587416666665
42.329276,-83.07587916666668
42.329271166666665,-83.07588650000001
42.329265166666666,-83.07589216666665
42.32925866666666,-83.07589549999999
42.329254000000006,-83.07589816666665
42.329251000000006,-83.07590016666667
42.3292445,-83.07590516666666
42.329237666666664,-83.07590916666668
42.329230499999994,-83.07591216666667
42.32922466666667,-83.07591499999998
42.32921866666667,-83.07591916666667
42.329212000000005,-83.07592233333335
42.32920483333334,-83.07592383333333
42.329199,-83.07592616666668
42.32919216666666,-83.07592983333333
42.32918483333333,-83.07593116666666
42.32917933333333,-83.07593166666666
42.32917283333333,-83.07593383333332
42.329166333333326,-83.07593566666668
42.32915916666668,-83.07593566666668
42.32915249999999,-83.075935
42.32914583333333,-83.07593483333333
